feed rate,depth of cut,diameter,cutting speed,tool life
0.025,0.1,45,11,357
0.025,0.1,45,20,241
0.025,0.1,45,29,230
0.025,0.1,45,40,249
0.025,0.1,45,50,276
0.025,0.1,45,68,220
0.025,0.1,45,92,81
0.025,0.1,45,105,50
0.025,0.1,45,120,28
0.125,0.1,45,11,203
0.125,0.1,45,20,183
0.125,0.1,45,29,184
0.125,0.1,45,40,167
0.125,0.1,45,50,103
0.125,0.1,45,68,30
0.125,0.1,45,92,8
0.125,0.1,45,105,5
0.125,0.1,45,120,3
0.05,0.15,45,11,258
0.05,0.15,45,20,194
0.05,0.15,45,29,203
0.05,0.15,45,40,216
0.05,0.15,45,50,216
0.05,0.15,45,68,93
0.05,0.15,45,92,25
0.05,0.15,45,105,14
0.05,0.15,45,120,8
0.05,0.15,75,11,314
0.05,0.15,75,20,236
0.05,0.15,75,29,215
0.05,0.15,75,40,227
0.05,0.15,75,50,229
0.05,0.15,75,68,154
0.05,0.15,75,92,54
0.05,0.15,75,105,31
0.05,0.15,75,120,18
0.05,0.15,100,11,325
0.05,0.15,100,20,245
0.05,0.15,100,29,224
0.05,0.15,100,40,231
0.05,0.15,100,50,241
0.05,0.15,100,68,198
0.05,0.15,100,92,77
0.05,0.15,100,105,43
0.05,0.15,100,120,26
0.05,0.25,45,11,229
0.05,0.25,45,20,179
0.05,0.25,45,29,184
0.05,0.25,45,50,183
0.05,0.25,45,60,108
0.05,0.25,45,68,70
0.05,0.25,45,92,18
0.05,0.25,45,105,10
0.05,0.25,45,120,6
0.05,0.05,45,11,328
0.05,0.05,45,20,238
0.05,0.05,45,29,246
0.05,0.05,45,50,258
0.05,0.05,45,60,190
0.05,0.05,45,68,142
0.05,0.05,45,92,43
0.05,0.05,45,105,25
0.05,0.05,45,120,15
0.075,0.1,45,11,249
0.075,0.1,45,20,198
0.075,0.1,45,29,209
0.075,0.1,45,50,157
0.075,0.1,45,60,101
0.075,0.1,45,68,66
0.075,0.1,45,92,18
0.075,0.1,45,105,10
0.075,0.1,45,120,6
